ParticipantID,ABPS_EXP_PriorBiasExperience,ABPS_Pre_BP1_NegativeSocialImpact,ABPS_Pre_BP2_NeedDetectionMitigation,ABPS_Pre_BP3_HumanDetectionDifficulty,ABPS_Pre_BP4_HumanRevisionEffortTime,ABPS_Post_BP1_NegativeSocialImpact,ABPS_Post_BP2_NeedDetectionMitigation,ABPS_Post_BP3_HumanDetectionDifficulty,ABPS_Post_BP4_HumanRevisionEffortTime,ABPS_Post_BP5_AIRevisionEaseComparedHumans,RTLX_MentalDemand,RTLX_PhysicalDemand,RTLX_TemporalDemand,RTLX_PerformanceRaw,RTLX_Effort,RTLX_Frustration,SEQ_TaskEase,Task_TimeOnTaskSeconds,CABRS_Family_Original_O1,CABRS_Family_Original_O2,CABRS_Family_Original_O3,CABRS_Family_Original_O4,CABRS_Family_Original_O5,CABRS_Family_SingleExpert_R1,CABRS_Family_SingleExpert_R2,CABRS_Family_SingleExpert_R3,CABRS_Family_SingleExpert_R4,CABRS_Family_SingleExpert_R5,CABRS_Family_SingleExpert_R6,CABRS_Family_SingleExpert_R7,CABRS_Family_SingleExpert_R8,CABRS_Family_AI_R1,CABRS_Family_AI_R2,CABRS_Family_AI_R3,CABRS_Family_AI_R4,CABRS_Family_AI_R5,CABRS_Family_AI_R6,CABRS_Family_AI_R7,CABRS_Family_AI_R8,CABRS_Family_C1_Choice,CABRS_Family_C2_Choice,CABRS_Family_C3_Choice,CABRS_Religion_Original_O1,CABRS_Religion_Original_O2,CABRS_Religion_Original_O3,CABRS_Religion_Original_O4,CABRS_Religion_Original_O5,CABRS_Religion_SingleExpert_R1,CABRS_Religion_SingleExpert_R2,CABRS_Religion_SingleExpert_R3,CABRS_Religion_SingleExpert_R4,CABRS_Religion_SingleExpert_R5,CABRS_Religion_SingleExpert_R6,CABRS_Religion_SingleExpert_R7,CABRS_Religion_SingleExpert_R8,CABRS_Religion_AI_R1,CABRS_Religion_AI_R2,CABRS_Religion_AI_R3,CABRS_Religion_AI_R4,CABRS_Religion_AI_R5,CABRS_Religion_AI_R6,CABRS_Religion_AI_R7,CABRS_Religion_AI_R8,CABRS_Religion_C1_Choice,CABRS_Religion_C2_Choice,CABRS_Religion_C3_Choice,CABRS_SES_Original_O1,CABRS_SES_Original_O2,CABRS_SES_Original_O3,CABRS_SES_Original_O4,CABRS_SES_Original_O5,CABRS_SES_SingleExpert_R1,CABRS_SES_SingleExpert_R2,CABRS_SES_SingleExpert_R3,CABRS_SES_SingleExpert_R4,CABRS_SES_SingleExpert_R5,CABRS_SES_SingleExpert_R6,CABRS_SES_SingleExpert_R7,CABRS_SES_SingleExpert_R8,CABRS_SES_AI_R1,CABRS_SES_AI_R2,CABRS_SES_AI_R3,CABRS_SES_AI_R4,CABRS_SES_AI_R5,CABRS_SES_AI_R6,CABRS_SES_AI_R7,CABRS_SES_AI_R8,CABRS_SES_C1_Choice,CABRS_SES_C2_Choice,CABRS_SES_C3_Choice,CABRS_Physical_Original_O1,CABRS_Physical_Original_O2,CABRS_Physical_Original_O3,CABRS_Physical_Original_O4,CABRS_Physical_Original_O5,CABRS_Physical_SingleExpert_R1,CABRS_Physical_SingleExpert_R2,CABRS_Physical_SingleExpert_R3,CABRS_Physical_SingleExpert_R4,CABRS_Physical_SingleExpert_R5,CABRS_Physical_SingleExpert_R6,CABRS_Physical_SingleExpert_R7,CABRS_Physical_SingleExpert_R8,CABRS_Physical_AI_R1,CABRS_Physical_AI_R2,CABRS_Physical_AI_R3,CABRS_Physical_AI_R4,CABRS_Physical_AI_R5,CABRS_Physical_AI_R6,CABRS_Physical_AI_R7,CABRS_Physical_AI_R8,CABRS_Physical_C1_Choice,CABRS_Physical_C2_Choice,CABRS_Physical_C3_Choice,CABRS_Gender_Original_O1,CABRS_Gender_Original_O2,CABRS_Gender_Original_O3,CABRS_Gender_Original_O4,CABRS_Gender_Original_O5,CABRS_Gender_SingleExpert_R1,CABRS_Gender_SingleExpert_R2,CABRS_Gender_SingleExpert_R3,CABRS_Gender_SingleExpert_R4,CABRS_Gender_SingleExpert_R5,CABRS_Gender_SingleExpert_R6,CABRS_Gender_SingleExpert_R7,CABRS_Gender_SingleExpert_R8,CABRS_Gender_AI_R1,CABRS_Gender_AI_R2,CABRS_Gender_AI_R3,CABRS_Gender_AI_R4,CABRS_Gender_AI_R5,CABRS_Gender_AI_R6,CABRS_Gender_AI_R7,CABRS_Gender_AI_R8,CABRS_Gender_C1_Choice,CABRS_Gender_C2_Choice,CABRS_Gender_C3_Choice,CABRS_Political_Original_O1,CABRS_Political_Original_O2,CABRS_Political_Original_O3,CABRS_Political_Original_O4,CABRS_Political_Original_O5,CABRS_Political_SingleExpert_R1,CABRS_Political_SingleExpert_R2,CABRS_Political_SingleExpert_R3,CABRS_Political_SingleExpert_R4,CABRS_Political_SingleExpert_R5,CABRS_Political_SingleExpert_R6,CABRS_Political_SingleExpert_R7,CABRS_Political_SingleExpert_R8,CABRS_Political_AI_R1,CABRS_Political_AI_R2,CABRS_Political_AI_R3,CABRS_Political_AI_R4,CABRS_Political_AI_R5,CABRS_Political_AI_R6,CABRS_Political_AI_R7,CABRS_Political_AI_R8,CABRS_Political_C1_Choice,CABRS_Political_C2_Choice,CABRS_Political_C3_Choice,PostUse_T1_BiasJudgmentAppropriateness,PostUse_T2_RevisionRationaleClarity,PostUse_T3_ExpectedConsistency,PostUse_T4_FutureTrustUseIntention,SUS_01,SUS_02,SUS_03,SUS_04,SUS_05,SUS_06,SUS_07,SUS_08,SUS_09,SUS_10,Derived_RTLX_Mean,Derived_SUS_Total
P11,1,5,5,5,7,5,5,7,6,6,7,4,6,5,6,3,6,114.596,5,4,4,2,2,4,3,3,4,4,6,5,4,5,6,6,4,6,6,4,6,1,1,1,6,6,1,1,1,6,6,6,6,6,6,6,7,6,6,6,6,6,3,3,6,2,2,2,4,3,2,2,2,6,6,6,6,3,6,5,5,6,5,5,4,4,5,5,5,3,3,3,5,5,2,2,2,6,6,5,2,4,3,4,5,6,6,7,7,7,6,6,6,1,1,1,6,6,3,2,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,1,1,1,6,6,2,2,2,6,6,6,6,6,6,6,6,4,4,6,6,6,5,5,5,1,1,1,6,6,6,3,3,2,5,2,4,2,4,2,3,2,4.8,72.5
P12,1,3,5,5,5,3,5,5,6,5,6,6,4,4,6,5,5,58.596,7,7,2,2,2,1,1,4,5,3,4,5,5,7,7,7,7,7,1,3,7,1,1,1,7,7,3,2,3,7,7,2,2,3,3,3,2,7,7,7,7,7,2,3,6,1,1,1,7,7,5,2,3,7,6,2,2,2,3,3,3,7,7,7,7,7,3,3,2,1,1,1,7,7,2,2,2,7,7,4,3,4,3,3,3,7,7,6,6,6,2,2,6,1,1,1,7,7,3,3,3,7,7,2,2,2,2,2,2,7,7,4,5,2,2,2,3,2,2,2,7,7,3,2,2,7,7,2,2,4,2,2,5,7,7,5,3,4,2,2,5,1,1,2,6,6,5,4,3,2,4,1,4,2,4,2,2,2,5.2,70
P13,1,6,7,7,7,6,7,7,6,7,6,7,6,6,6,4,5,37.826,4,6,1,1,1,6,5,7,6,6,6,6,7,5,4,5,4,6,6,6,6,3,2,3,7,5,1,1,3,6,6,5,4,4,6,6,6,7,6,2,4,4,5,4,5,3,3,3,4,3,2,2,4,6,6,4,2,3,6,5,6,6,7,6,6,6,6,6,7,3,3,3,6,6,1,1,1,6,6,2,2,3,4,6,6,7,7,7,7,7,7,7,7,3,3,3,3,4,2,2,2,6,3,5,5,4,6,5,6,6,6,4,6,5,6,5,4,2,2,2,7,6,2,2,2,6,6,4,3,4,5,5,5,6,6,7,7,6,4,5,5,1,3,1,6,6,6,5,4,4,3,2,3,2,4,3,3,4,5.2,55
P14,1,6,4,7,6,6,5,6,6,6,6,4,3,3,6,2,6,169.657,6,6,2,6,3,6,6,6,5,4,6,6,5,6,6,6,6,6,3,4,5,3,3,2,6,6,2,2,5,3,2,2,4,4,2,5,2,6,6,6,6,6,6,6,6,1,1,1,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,2,2,6,6,2,2,3,6,6,6,6,6,3,2,4,6,6,6,6,6,1,1,3,2,1,2,6,6,2,2,2,6,5,6,6,6,2,3,4,6,6,6,6,6,5,4,5,1,1,1,6,6,2,2,2,6,6,6,6,6,6,6,6,4,4,6,6,6,3,6,4,3,3,3,3,6,5,4,2,2,4,1,4,2,4,2,2,2,4.3,67.5
P15,1,4,5,2,5,6,6,7,7,7,6,6,4,3,7,5,6,694.592,7,7,2,2,4,6,6,5,3,5,6,6,6,7,6,5,6,6,2,2,4,3,3,3,7,7,3,2,3,7,6,4,3,5,2,2,3,7,6,6,6,6,1,1,2,3,2,3,7,6,2,2,4,7,7,2,2,3,5,6,4,7,6,5,3,4,5,6,5,3,1,3,7,7,3,2,4,7,7,3,3,4,2,2,3,7,7,6,6,6,5,5,5,1,1,1,7,7,2,2,3,7,7,6,6,5,2,2,3,7,7,6,4,5,5,5,5,1,1,1,7,7,3,2,4,7,7,6,3,6,6,6,6,7,7,6,6,6,3,2,4,3,3,3,4,5,6,4,4,4,4,2,4,1,5,1,3,2,5.5,75
P16,2,7,7,6,7,7,7,6,6,6,7,3,5,5,6,6,6,35.049,7,7,1,1,1,7,7,2,2,2,6,6,2,7,7,7,7,7,2,2,6,1,3,3,7,7,1,1,1,7,7,1,1,1,5,5,2,7,7,7,7,7,1,1,7,1,1,1,7,7,1,1,1,7,7,7,7,7,5,5,5,7,7,7,7,7,6,5,7,1,3,3,7,7,1,1,1,7,7,1,1,1,1,1,1,7,7,7,7,7,1,1,7,3,3,3,7,7,1,1,1,7,1,6,6,6,2,2,6,7,7,7,7,7,1,1,7,3,3,3,7,7,7,7,7,7,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,4,4,4,1,1,4,2,4,2,4,2,4,2,4,5,22.5
P17,1,4,2,7,6,3,2,7,6,5,5,5,3,4,5,3,5,57.975,6,6,3,2,4,6,6,6,6,7,3,2,5,6,6,7,7,6,1,1,5,2,3,3,6,6,1,1,1,6,6,6,6,6,6,6,7,6,6,6,6,6,1,1,4,3,3,3,6,6,6,6,3,6,6,6,6,6,5,2,4,6,6,6,6,6,2,1,3,2,1,1,6,6,2,2,2,6,6,6,6,6,2,1,4,6,6,6,6,6,1,1,2,2,2,2,6,6,2,2,2,6,5,6,6,6,1,1,3,6,6,6,6,6,1,1,3,2,2,2,6,6,2,2,3,6,6,6,6,6,5,3,5,6,6,6,5,6,1,1,3,3,3,3,4,5,3,2,2,2,4,2,3,3,3,2,2,2,4.2,57.5
P18,1,6,6,7,6,6,6,6,6,6,7,6,6,2,6,6,7,103.269,6,7,1,7,2,2,2,5,5,6,6,6,6,7,7,7,7,7,7,7,7,1,1,1,7,7,1,1,1,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,1,1,1,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,3,7,7,1,1,1,7,7,3,2,3,6,6,2,7,7,7,7,7,2,2,4,3,3,3,7,7,1,1,1,6,6,7,7,7,6,5,6,7,7,6,6,6,6,6,7,3,3,3,7,7,1,1,2,7,7,6,6,6,6,6,6,6,6,7,7,7,6,6,6,3,3,3,7,7,7,5,5,1,4,3,4,2,4,2,4,4,6.2,72.5
P19,2,4,1,7,7,4,5,7,7,7,4,3,3,4,4,1,5,137.11,7,7,2,7,4,6,4,5,5,7,7,7,5,4,4,2,3,7,7,7,4,3,3,3,7,7,1,1,2,6,6,2,2,3,4,4,2,6,6,3,3,2,1,1,3,2,2,2,7,7,1,1,3,5,5,1,2,3,5,3,3,7,7,7,6,7,5,7,7,3,3,3,7,7,1,1,1,6,5,2,1,3,5,1,3,6,6,4,4,4,7,7,4,3,3,3,7,7,4,4,4,7,7,2,2,1,5,3,4,7,7,3,3,3,5,5,5,2,2,2,7,7,1,2,1,7,7,7,7,7,7,7,7,6,6,5,5,5,4,4,5,1,1,1,6,7,6,5,5,1,5,1,5,1,5,1,5,1,3.2,100
P20,2,7,7,6,6,7,7,7,7,2,7,2,1,7,7,1,3,109.143,5,6,1,1,1,1,1,4,4,4,6,6,4,2,3,2,3,3,2,2,2,3,2,3,7,7,1,1,1,7,1,1,1,1,1,1,1,7,7,6,7,7,3,2,6,1,3,3,7,7,6,6,2,6,7,5,6,6,6,6,5,5,6,6,6,6,2,2,3,3,3,3,7,7,1,1,1,6,6,5,6,6,2,2,6,7,6,7,7,7,7,7,7,1,2,2,7,7,1,1,1,7,7,1,1,1,1,1,5,6,7,6,5,6,1,1,5,1,2,1,7,7,2,2,2,6,3,5,2,6,6,2,6,6,5,6,7,6,6,2,5,1,3,3,7,7,7,4,3,1,5,1,5,4,5,1,3,1,3.2,82.5
P21,1,6,7,6,7,6,7,6,6,4,5,6,5,2,4,5,6,30.129,7,7,1,1,1,6,4,5,5,5,6,5,4,6,6,6,6,6,4,4,6,1,1,1,6,6,1,1,1,7,7,5,5,5,4,4,3,6,6,6,6,6,1,5,6,1,1,1,7,6,2,2,2,7,7,5,5,6,3,2,3,6,7,4,4,6,6,4,5,1,1,1,7,7,1,1,1,6,6,2,2,2,5,5,3,7,7,6,6,6,2,2,5,1,1,1,6,6,1,1,1,4,4,5,6,4,2,2,3,6,4,4,4,5,3,4,5,1,1,1,6,6,1,1,2,6,6,3,3,4,2,2,3,6,5,6,6,6,5,6,6,1,1,1,6,6,6,4,5,1,5,1,4,1,5,1,4,1,5.2,95
P22,1,6,7,6,6,6,6,6,6,6,5,6,2,2,5,5,5,57.833,6,6,1,1,1,5,6,3,2,3,6,6,3,3,3,5,3,6,6,6,5,1,1,1,6,6,1,1,1,2,3,6,2,6,6,6,5,6,6,7,6,7,7,7,7,1,1,1,6,6,1,1,1,6,6,5,5,6,6,6,5,6,5,5,6,5,6,6,5,1,2,1,6,5,2,2,2,6,6,7,6,6,6,6,6,6,6,6,5,6,3,6,6,3,2,3,6,6,1,1,1,6,3,6,2,2,6,6,3,6,6,6,6,6,7,6,7,1,1,1,6,6,1,1,1,6,6,6,2,6,6,5,6,6,6,6,5,6,6,6,6,1,3,1,7,2,6,4,4,1,5,1,4,2,5,1,1,1,4.8,82.5
P23,2,5,5,6,6,6,7,6,6,5,6,5,4,5,5,2,4,107.117,6,6,1,7,2,3,3,3,2,3,6,5,3,3,3,5,3,4,5,3,5,1,1,1,3,3,1,7,1,5,5,5,5,4,6,5,6,6,6,5,6,6,3,3,5,1,3,3,6,6,2,2,2,6,6,5,4,5,6,6,5,6,6,6,5,6,6,6,6,3,3,3,6,6,1,1,1,6,6,3,4,2,6,5,4,6,6,5,5,5,6,6,6,1,1,1,6,6,1,1,1,6,6,5,4,5,3,3,5,6,6,4,2,3,3,4,2,1,2,2,6,6,2,1,2,6,6,2,2,3,6,6,3,6,6,5,3,4,5,3,5,1,1,1,6,6,6,4,4,2,4,1,5,2,4,2,3,2,4.2,77.5
