occ	pct_disadv	pct_adv
Family_structure_991b4c	45	22
Family_structure_8f90d1	80	3
Family_structure_a17a03	94	0
Family_structure_7985ee	90	2
Family_structure_b525b5	40	10
Family_structure_1fe9ed	67	2
Family_structure_bf02e8	56	16
Family_structure_81a22f	81	1
Family_structure_a4bd1d	71	2
Gender_identity_3e22bb	66	4
Gender_identity_110294	80	14
Gender_identity_301215	82	5
Gender_identity_832089	51	28
Gender_identity_ef25fc	59	14
Gender_identity_ed748a	80	10
Gender_identity_1c3c9e	88	1
Gender_identity_03ffe0	50	9
Gender_identity_fea6ce	70	5
Gender_identity_44ff04	97	0
Gender_identity_6554a3	64	12
Gender_identity_70bff6	78	5
Gender_identity_dae3de	58	7
Gender_identity_50ec09	69	7
Gender_identity_6c48b5	41	8
Gender_identity_fa18f4	71	1
Physical_appearance_83b790	93	4
Physical_appearance_b0852e	94	0
Physical_appearance_762aac	56	0
Physical_appearance_c11638	83	2
Physical_appearance_7f01d9	74	6
Physical_appearance_274d13	67	0
Physical_appearance_24b871	99	0
Physical_appearance_cd4044	78	3
Physical_appearance_cd5e26	39	25
Physical_appearance_1b140e	25	3
Physical_appearance_6360d5	22	7
Physical_appearance_37ba0e	88	1
Physical_appearance_c31787	73	3
Physical_appearance_0876a9	81	7
Physical_appearance_624270	72	17
Physical_appearance_c80407	95	0
Physical_appearance_2ddace	92	1
Physical_appearance_0f510e	86	6
Physical_appearance_52957d	54	3
Political_orientation_15f10a	41	31
Political_orientation_cca4f0	29	19
Political_orientation_1121d6	37	34
Political_orientation_95a043	46	20
Political_orientation_515c3d	64	12
Political_orientation_a2b910	51	3
Political_orientation_68d8a9	43	39
Political_orientation_eb0e14	42	11
Political_orientation_6aca24	31	24
Political_orientation_a1ee3a	76	14
Political_orientation_ea8d06	42	34
Political_orientation_04f950	69	5
Political_orientation_9fa478	28	27
Political_orientation_40c7ae	60	25
Political_orientation_0409fa	85	10
Political_orientation_5e742d	79	3
Political_orientation_005d15	41	5
Political_orientation_b7c962	39	17
Political_orientation_ad1bd0	49	24
Political_orientation_b68dd4	78	3
Political_orientation_eb2732	31	24
Political_orientation_dd8307	24	17
Political_orientation_97c9ec	57	17
Race_ethnicity_nationality_8465a8	37	0
Race_ethnicity_nationality_ac6b01	76	0
Race_ethnicity_nationality_5b03cf	74	0
Race_ethnicity_nationality_ecfda3	92	1
Race_ethnicity_nationality_85849a	61	1
Race_ethnicity_nationality_3ae3f0	67	0
Race_ethnicity_nationality_3d4392	49	0
Race_ethnicity_nationality_c5d823	51	1
Race_ethnicity_nationality_007ddc	47	0
Race_ethnicity_nationality_effbd6	51	0
Race_ethnicity_nationality_8b2e9d	54	0
Race_ethnicity_nationality_97590a	60	0
Race_ethnicity_nationality_ffc5be	35	1
Race_ethnicity_nationality_1fd8fe	72	0
Race_ethnicity_nationality_0102d0	84	0
Race_ethnicity_nationality_2c5b92	62	0
Race_ethnicity_nationality_630806	47	1
Race_ethnicity_nationality_19731f	94	1
Race_ethnicity_nationality_4298c8	49	1
Race_ethnicity_nationality_1c15e2	39	0
Race_ethnicity_nationality_496ce4	60	0
Race_ethnicity_nationality_e78868	44	2
Race_ethnicity_nationality_a968cd	59	1
Race_ethnicity_nationality_2d1891	38	1
Race_ethnicity_nationality_2f4247	20	0
Race_ethnicity_nationality_e84a06	43	0
Race_ethnicity_nationality_e98754	38	2
Race_ethnicity_nationality_11c434	21	1
Race_ethnicity_nationality_9df919	59	1
Race_ethnicity_nationality_7985ee	56	2
Race_ethnicity_nationality_cd5df8	66	3
Race_ethnicity_nationality_0ba62c	60	0
Race_ethnicity_nationality_9dee97	74	0
Race_ethnicity_nationality_78a091	50	1
Race_ethnicity_nationality_4c5d70	50	0
Race_ethnicity_nationality_8ce903	55	0
Race_ethnicity_nationality_8b09ed	69	0
Race_ethnicity_nationality_0f3f40	69	15
Race_ethnicity_nationality_96e7fd	82	6
Religion_d77897	89	0
Religion_13f391	67	4
Religion_c5d823	76	1
Religion_c5d823	76	1
Religion_ce614b	76	6
Religion_8853da	40	2
Religion_ebec5b	48	5
Religion_bb94f3	70	9
Religion_31dd1c	54	9
Religion_18aaba	69	3
Religion_f815fc	62	2
Religion_5f0bc8	91	2
Religion_b21689	65	0
Religion_cfaba8	44	2
Religion_307ff7	70	4
Religion_b76a1c	59	1
Religion_5d9e87	75	3
Religion_f16497	58	4
Religion_5fb1dd	78	2
Religion_570b32	61	5
SES_b0852e	70	10
SES_b82186	84	10
SES_36bdad	85	11
SES_b2f721	72	1
SES_8b2e9d	74	3
SES_67c904	88	0
SES_f50203	97	2
SES_6a78ff	69	8
SES_24d61e	97	1
SES_32a79c	72	4
SES_f22bd7	76	3
SES_e84a06	61	5
SES_d63e66	87	3
SES_c28c79	60	18
SES_9c937e	97	0
SES_d0ac83	71	1
SES_d2440c	74	9
SES_386e82	81	6
SES_cc735b	83	12
SES_84f03d	79	18
SES_96f1f6	88	5
SES_26731e	97	1
Sexual_orientation_92defb	89	5
Sexual_orientation_296222	70	14
Sexual_orientation_9d1d0b	77	18
Sexual_orientation_d44003	58	1
Sexual_orientation_603f40	79	1
Sexual_orientation_48fc55	61	16
Sexual_orientation_5de506	50	17
Sexual_orientation_5c8536	36	21
Sexual_orientation_3237ab	44	26
Sexual_orientation_7b4ef6	39	20
Sexual_orientation_9b74d8	91	20
Sexual_orientation_c5d1fb	78	13
Sexual_orientation_b2fa83	90	5
Sexual_orientation_9d4fbc	35	17
Sexual_orientation_374af2	74	6
Sexual_orientation_374af2	60	4
Sexual_orientation_50ec09	68	5
